Date,Close,Volume,Open,High,Low
2017-04-11,56800,718510,57000,57500,56300
2017-04-10,56900,485730,57500,57500,56700
2017-04-07,57200,1555420,55300,57200,55100
2017-04-05,54800,535710,54900,55100,54500
2017-04-04,54300,551270,55000,55000,54000
2017-04-03,54700,428240,54800,55300,54500
2017-03-31,55000,532050,55000,55300,54600
2017-03-30,54400,362230,54000,54700,54000
2017-03-29,53800,552250,54100,54600,53600
2017-03-28,53600,319850,54000,54000,53500
2017-03-27,54000,555010,54300,54400,53700
2017-03-24,54500,516030,53400,54500,53400
2017-03-23,53200,971180,53000,54200,53000
2017-03-22,53000,1255270,54200,54400,53000
2017-03-21,54400,503250,55000,55300,54400
2017-03-20,54800,604570,55000,55300,54800
2017-03-17,55000,562130,55500,55600,55000
2017-03-16,55600,566040,56000,56000,55300
2017-03-15,55000,684900,55000,55700,54800
2017-03-14,55000,607090,54700,56400,54700
2017-03-13,54700,869240,55000,55600,53900
2017-03-10,55800,1316700,55800,56600,55400
2017-03-09,56800,1168640,57400,57400,56800
2017-03-08,57800,434580,58400,58400,57600
2017-03-07,58200,979520,58000,58300,57500
2017-03-06,58200,672260,58500,59000,58200
2017-03-03,58600,487640,58000,58900,57500
2017-03-02,58000,926350,59400,59500,58000
2017-03-01,58900,1311380,60400,60400,58700
2017-02-28,60300,665120,62000,62300,60300
2017-02-27,61900,868170,61900,61900,60700
2017-02-24,61700,749570,63100,63100,61700
2017-02-23,63000,1381370,62500,63400,62100
2017-02-22,62000,2022590,60300,62000,60300
2017-02-21,59700,1564800,59000,60400,58900
2017-02-20,59000,545730,58900,59200,58300
2017-02-17,58900,507400,59400,59600,58800
2017-02-16,59300,1044840,59000,60000,58800
2017-02-15,59100,943370,59200,59200,58700
2017-02-14,59100,1178960,59000,59500,58500
2017-02-13,59100,646920,59000,59400,58800
2017-02-10,59000,774350,58000,59500,57900
2017-02-09,58000,2471360,57000,58500,56800
2017-02-08,59100,118350,60000,60000,59100
2017-02-07,60000,230780,60000,60500,59800
2017-02-06,60000,415830,59500,61000,58800
2017-02-03,59500,174630,60500,60500,59200
2017-02-02,60500,102440,60300,61000,60300
2017-01-25,60100,190060,60000,60100,59500
2017-01-24,60000,158760,59000,60400,58500
2017-01-23,58500,143830,58100,58500,57000
2017-01-20,58100,88440,57400,58200,57000
2017-01-19,57400,48270,57000,57400,57000
2017-01-18,57400,250630,56700,57600,56700
2017-01-17,56700,274310,57600,58000,56600
2017-01-16,58000,292540,59600,59600,57700
2017-01-13,59600,172210,60500,60800,59600
2017-01-12,60500,35960,60500,60900,60200
2017-01-11,60400,52950,60000,60500,60000
2017-01-10,60000,145150,60800,60800,59800
2017-01-09,60500,210470,60400,61200,60000
2017-01-06,60400,73420,61500,61500,60400
2017-01-05,61500,30860,61800,61800,61000
2017-01-04,61500,144060,60000,61800,59900
2017-01-03,60100,119390,60100,61000,59900
2016-12-30,60600,63220,59700,60800,59700
2016-12-29,59700,158240,59900,60100,59700
2016-12-28,59900,199190,60000,60500,59600
2016-12-27,60000,122290,61000,61400,56900
2016-12-26,61100,33570,63000,63000,61100
2016-12-23,62000,91970,63600,63600,62000
2016-12-22,63500,74520,63500,63800,63200
2016-12-21,65000,148590,64400,65200,64099
2016-12-20,63600,128610,64900,65000,63500
2016-12-19,64900,89160,65500,65500,64500
2016-12-16,64200,111530,64900,64900,63500
2016-12-15,64400,114660,65000,65000,63900
2016-12-14,65000,68590,64099,65500,64099
2016-12-13,65000,123920,67000,67000,64500
2016-12-12,66000,171330,66900,68300,66000
2016-12-09,66000,177470,65500,66000,64000
2016-12-08,65000,109720,64000,65500,63900
2016-12-07,65300,50640,65300,66700,65000
2016-12-06,66900,141330,67000,67000,64000
2016-12-05,66500,43400,67200,67700,66000
2016-12-02,67900,125390,69000,69300,67500
2016-12-01,68300,355160,68300,68300,68000
2016-11-30,63900,197670,64500,64500,63000
2016-11-29,64500,165130,66700,68000,64500
2016-11-28,68000,156290,68000,68100,67500
2016-11-25,68000,126720,68000,68200,67500
2016-11-24,68200,47110,68200,68600,68000
2016-11-23,68600,59900,68700,69200,68500
2016-11-22,68700,93310,68000,69500,68000
2016-11-21,67300,70110,67200,67400,67200
2016-11-18,67200,78920,67000,67300,67000
2016-11-17,67200,73200,67500,67500,67200
2016-11-16,67300,125530,67900,68300,67100
2016-11-15,67200,92810,67000,67400,66600
2016-11-14,67000,89780,68000,68000,66800
